Date,Country 1,Country 2,Country 3,Country 4,Country 5,Country 6,Target country,Strikes in Iraq,Strikes in Syria,Location 1,Location 2,Aircraft type,Number of aircrafts,Ammunition,Target 1,No of target 1,Status of target 1,Target 2,No of target 2,Status of target 2,Target 3,No of target 3,Status of target 3,Target 4,No of target 4,Status of target 4,Target 5,No of target 5,Status of target 5,Target 6,No of target 6,Status of target 6,Target 7,No of target 7,Status of target 7,Target 8,No of target 8,Status of target 8,Target 9,No of target 9,Status of target 9,Target 10,No of target 10,Status of target 10,Casualties?,Casualties estimate
2014-08-08T00:00:00Z,USA,,,,,,Iraq,1,,Irbil,,Attack,2,500-pound laser-guided bombs,Mobile artillery piece,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-08T00:00:00Z,USA,,,,,,Iraq,1,,Irbil,,Remotely piloted aircraft,1,,Mortar position,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Unknown
2014-08-08T00:00:00Z,USA,,,,,,Iraq,1,,Irbil,,Attack,4,Laser guided bomb,Convoy,7,Destroyed,Mortar position,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-09T00:00:00Z,USA,,,,,,Iraq,4,,Sinjar,,Fighter and remotely piloted aircraft,,,APC,6,Destroyed,Armed truck,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-10T00:00:00Z,USA,,,,,,Iraq,6,,Irbil,,Fighter and remotely piloted aircraft,,,Armed truck,3,Destroyed,Mortar position,1,Destroyed,Armed vehicle,1,Damaged,Convoy,1,Destroyed,,,,,,,,,,,,,,,,,,,,
2014-08-11T00:00:00Z,USA,,,,,,Iraq,4,,Sinjar,,Fighter,1,,Checkpoint,3,Destroyed,Armed truck,1,Destroyed,High-Mobility Multipurpose Wheeled Vehicle,1,Destroyed,Checkpoint,1,Damaged,Truck,1,Destroyed,,,,,,,,,,,,,,,,,
2014-08-12T00:00:00Z,USA,,,,,,Iraq,1,,Sinjar,,Remotely piloted aircraft,1,,Mortar position,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-13T00:00:00Z,USA,,,,,,Iraq,1,,Sinjar,,Remotely piloted aircraft,1,,Armed vehicle,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-14T00:00:00Z,USA,,,,,,Iraq,4,,Irbil,,Fighter and remotely piloted aircraft,,,Armed vehicle,2,Destroyed,MRAP,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-15T00:00:00Z,USA,,,,,,Iraq,1,,Irbil,,Remotely piloted aircraft,1,,Armed vehicle,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-16T00:00:00Z,USA,,,,,,Iraq,9,,Irbil,Mosul,Fighter and remotely piloted aircraft,,,APC,4,Destroyed,Armed vehicle,7,Destroyed,Humvee,2,Destroyed,Armored vehicle,1,Destroyed,,,,,,,,,,,,,,,,,,,,
2014-08-17T00:00:00Z,USA,,,,,,Iraq,14,,Mosul Dam,,"Attack, bomber, fighter, and remotely piloted aircraft",,,Armed vehicle,10,Damaged or destroyed,Humvee,7,Damaged or destroyed,APC,2,Damaged or destroyed,Checkpoint,1,Damaged or destroyed,,,,,,,,,,,,,,,,,,,,
2014-08-18T00:00:00Z,USA,,,,,,Iraq,15,,Mosul Dam,,"Bomber, fighter, and remotely piloted aircraft",,,Fighting position,9,Damaged or destroyed,Checkpoint,1,Damaged or destroyed,Armed vehicle,6,Damaged or destroyed,Light armored vehicle,1,Damaged or destroyed,Vehicle-mounted anti-aircraft artillery gun,1,Damaged or destroyed,IED emplacement belt,1,Damaged or destroyed,,,,,,,,,,,,,,
2014-08-19T00:00:00Z,USA,,,,,,Iraq,2,,Mosul Dam,,Fighter,1,,Checkpoint,1,Destroyed,Unknown,Unknown,Unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-20T00:00:00Z,USA,,,,,,Iraq,14,,Mosul Dam,,"Fighter, remotely piloted and attack aircraft",,,Humvee,6,Damaged or destroyed,IED emplacement,3,Damaged or destroyed,Mortar tube,1,Damaged or destroyed,Armed trucks,2,Damaged or destroyed,,,,,,,,,,,,,,,,,,,,
2014-08-21T00:00:00Z,USA,,,,,,Iraq,6,,Mosul Dam,,Attack and fighter,,,Humvee,3,Destroyed,Vehicle,1,Destroyed,IED emplacement,Multiple,Destroyed,,,,,,,,,,,,,,,,,,,,,,,
2014-08-22T00:00:00Z,USA,,,,,,Iraq,3,,Mosul Dam,,Attack and fighter,,,Armed vehicle,2,Destroyed,Machine gun emplacement,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-23T00:00:00Z,USA,,,,,,Iraq,1,,Mosul Dam,,Fighter,1,,Vehicle,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-24T00:00:00Z,USA,,,,,,Iraq,1,,Irbil,Mosul Dam,Attack and remotely piloted aircraft,,,Armed vehicle,1,Destroyed,Humvee,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-26T00:00:00Z,USA,,,,,,Iraq,2,,Irbil,,Attack,1,,Armed vehicle,2,Destroyed,Armed vehicle,1,Damaged,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-27T00:00:00Z,USA,,,,,,Iraq,3,,Mosul Dam,Irbil,"Fighter, attack, and remotely piloted aircraft",,,Humvee,1,Destroyed,Supply truck,1,Destroyed,Armored vehicle,3,Destroyed,Building,1,Severely damaged,,,,,,,,,,,,,,,,,,,,
2014-08-28T00:00:00Z,USA,,,,,,Iraq,5,,Mosul Dam,,Fighter,1,,Humvee,1,Destroyed,Tank,1,Destroyed,Armed vehicle,4,Destroyed,Construction vehicle,1,Destroyed,Checkpoint,1,Severely damaged,,,,,,,,,,,,,,,,,
2014-08-29T00:00:00Z,USA,,,,,,Iraq,4,,Mosul Dam,,Attack and fighter,,,Armed vehicle,4,Destroyed,Armed vehicle,1,Severely damaged,Support vehicle,3,Destroyed,,,,,,,,,,,,,,,,,,,,,,,
2014-08-30T00:00:00Z,USA,,,,,,Iraq,5,,Mosul Dam,,Fighter and remotely piloted aircraft,,,Armed vehicle,1,Destroyed,Fighting position,1,Destroyed,Weapons,Multiple,Destroyed,Building,1,Severely damaged,,,,,,,,,,,,,,,,,,,,
2014-08-30T00:00:00Z,USA,,,,,,Iraq,3,,Amirli,,Fighter,1,,Humvee,3,Destroyed,Armed vehicle,1,Destroyed,Checkpoint,1,Destroyed,Tank,1,Destroyed,,,,,,,,,,,,,,,,,,,,
2014-08-31T00:00:00Z,USA,,,,,,Iraq,1,,Mosul Dam,,Attack and fighter,,,Armed vehicle,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-31T00:00:00Z,USA,,,,,,Iraq,1,,Amirli,,Attack and fighter,,,Tank,1,Damaged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-01T00:00:00Z,USA,,,,,,Iraq,3,,Mosul Dam,,Attack and fighter,,,Truck,3,Destroyed,Truck,1,Damaged,Armed vehicle,1,Destroyed,Mortar position,1,Destroyed,,,,,,,,,,,,,,,,,,,,
2014-09-02T00:00:00Z,USA,,,,,,Iraq,1,,Mosul Dam,,Attack and fighter,,,Armed vehicle,16,Damaged or destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-03T00:00:00Z,USA,,,,,,Iraq,3,,Mosul Dam,,Fighter,1,,Armed vehicle,2,Destroyed,Observation post,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-04T00:00:00Z,USA,,,,,,Iraq,4,,Mosul Dam,Irbil,"Fighter, attack, and remotely piloted aircraft",,,Observation post,1,Destroyed,Humvee,1,Destroyed,Armed vehicle,1,Destroyed,Truck,1,Destroyed,Mortar position,3,Destroyed,,,,,,,,,,,,,,,,,
2014-09-05T00:00:00Z,USA,,,,,,Iraq,2,,Irbil,,"Attack, fighter, and remotely piloted aircraft",,,Humvee,4,Destroyed,APC,1,Destroyed,Truck,2,Destroyed,Humvee,1,Damaged,Truck,1,Damaged,,,,,,,,,,,,,,,,,
2014-09-06T00:00:00Z,USA,,,,,,Iraq,4,,Haditah,,Fighter and bomber,,,Humvee,5,Destroyed,Armed vehicle,1,Destroyed,Checkpoint,1,Destroyed,Bunker,1,Damaged,,,,,,,,,,,,,,,,,,,,
2014-09-06T00:00:00Z,USA,,,,,,Iraq,1,,Mosul Dam,,Attack,1,,Humvee,1,Damaged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-07T00:00:00Z,USA,,,,,,Iraq,5,,Haditha Dam,,"Attack, bomber and fighter",,,Humvee,4,Destroyed,Armed vehicle,2,Destroyed,Armed vehicle with antiaircraft artillery,2,Destroyed,Fighting position,1,Destroyed,Command post,1,Destroyed,Defensive fighting position,1,Destroyed,,,,,,,,,,,,,,
2014-09-08T00:00:00Z,USA,,,,,,Iraq,4,,Haditha Dam,,"Attack, fighter, and remotely piloted aircraft",,,Armed vehicle,2,Destroyed,Armed vehicle with antiaircraft artillery,1,Destroyed,Ground unit,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,
2014-09-08T00:00:00Z,USA,,,,,,Iraq,1,,Irbil,,"Attack, fighter, and remotely piloted aircraft",1,,Humvee,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-09T00:00:00Z,USA,,,,,,Iraq,1,,Irbil,,Attack,1,,Armed vehicle,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-09T00:00:00Z,USA,,,,,,Iraq,5,,Haditha Dam,,"Attack, fighter, and remotely piloted aircraft",,,Armed vehicle,6,Damaged or destroyed,Armed vehicle with antiaircraft artillery,2,Damaged or destroyed,Vehicle,5,Damaged or destroyed,Transport vehicle,1,Damaged or destroyed,,,,,,,,,,,,,,,,,,,,
2014-09-10T00:00:00Z,USA,,,,,,Iraq,2,,Mosul Dam,,Attack,1,,Machine gun emplacement,2,Destroyed,Bunker,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-11T00:00:00Z,USA,,,,,,Iraq,2,,Mosul Dam,Irbil,Attack,,,Armed vehicle,2,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-12T00:00:00Z,USA,,,,,,Iraq,2,,Mosul Dam,,Attack,1,,Mortar position,1,Destroyed,Armed vehicle,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-14T00:00:00Z,USA,,,,,,Iraq,1,,Sinjar,,Attack and fighter,,,Vehicle,6,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-14T00:00:00Z,USA,,,,,,Iraq,1,,SW Baghdad,,Attack and fighter,,,Fighting position,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-15T00:00:00Z,USA,,,,,,Iraq,2,,Irbil,,Fighter,,,Armed truck,1,Destroyed,Fighting position,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-15T00:00:00Z,USA,,,,,,Iraq,3,,SW Baghdad,,Fighter,,,Truck,1,Damaged,Antiaircraft artillery piece,1,Destroyed,Ground unit,1,Destroyed,Supply boats,2,Destroyed,,,,,,,,,,,,,,,,,,,,
2014-09-16T00:00:00Z,USA,,,,,,Iraq,1,,Haditah,,"Fighter, attack, and remotely piloted aircraft",,,Armed vehicle,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-16T00:00:00Z,USA,,,,,,Iraq,2,,Irbil,,"Fighter, attack, and remotely piloted aircraft",,,Armed vehicle,2,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-16T00:00:00Z,USA,,,,,,Iraq,4,,SW Baghdad,,"Fighter, attack, and remotely piloted aircraft",,,Ground unit,1,Destroyed,Supply boat,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-17T00:00:00Z,USA,,,,,,Iraq,1,,Mosul,,Fighter and bomber,,,Armed vehicle,1,Destroyed,Building,2,Destroyed,Ground unit,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,
2014-09-17T00:00:00Z,USA,,,,,,Iraq,1,,SE Baghdad,,Fighter and bomber,,,Ammunition stockpile,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-18T00:00:00Z,France,,,,,,Iraq,1,,Zumar,,Attack,,,Logistics depot,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-18T00:00:00Z,USA,,,,,,Iraq,1,,SE Baghdad,,Fighter,,,Boat,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-18T00:00:00Z,USA,,,,,,Iraq,1,,SW Baghdad,,Fighter,,,Ground unit,1,Damaged or destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-19T00:00:00Z,USA,,,,,,Iraq,1,,SW Baghdad,,Attack and fighter,,,Supply boat,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-20T00:00:00Z,USA,,,,,,Iraq,4,,Haditah,,Attack and fighter,,,Supply vehicle,2,Destroyed,Checkpoint,3,Destroyed,Guard outpost,2,Destroyed,,,,,,,,,,,,,,,,,,,,,,,
2014-09-20T00:00:00Z,USA,,,,,,Iraq,1,,SW Baghdad,,Fighter,1,,Fighting position,1,Damaged or destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-21T00:00:00Z,USA,,,,,,Iraq,2,,Sinjar,,Unknown,2,,Mortar position,1,Destroyed,Semi-tractor trailer carrying munitions,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-22T00:00:00Z,USA,,,,,,Iraq,4,,Kirkuk,,"Attack, fighter, and remotely piloted aircraft",,,Vehicle,2,Destroyed,Tank,1,Destroyed,Humvee,1,Damaged,,,,,,,,,,,,,,,,,,,,,,,
2014-09-23T00:00:00Z,USA,,,,,,Iraq,1,,NW Baghdad,,Bomber and remotely piloted aircraft,,,Armed vehicle,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-23T00:00:00Z,USA,,,,,,Iraq,4,,Kirkuk,,Attack,,,Humvee,2,Destroyed,Armed vehicle,1,Destroyed,Fighting position,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,
2014-09-23T00:00:00Z,USA,,,,,,Syria,,2,Dayr az Zawr,,Bomber and remotely piloted aircraft,,,Vehicle,1,Damaged,Armed vehicle,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-23T00:00:00Z,USA, Bahrain, Jordan, Saudi Arabia, Qatar, UAE,Syria,,14,"Ar Raqaah, Dayr az Zawr, Al Hasakah, Abu Kamal, Aleppo ",,"Fighter, bomber, remotely piloted aircraft",,,Fighters,,Unknown,Training compound,,Unknown,HQ and C&C facilities,,Unknown,Supply trucks,,Unknown,Storage facility,,Unknown,Armed vehicle,,Unknown,,,,,,,,,,,,,,
2014-09-24T00:00:00Z,USA,,,,,,Iraq,2,,W Baghdad,,"Attack, bomber and fighter",,,Armed vehicle,2,Destroyed,Weapon cache,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-24T00:00:00Z,USA,,,,,,Iraq,2,,Irbil,,"Attack, bomber and fighter",,,Fighting position,,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-24T00:00:00Z,USA,,,,,,Syria,,1,NW Al Qaim,,"Attack, bomber and fighter",,,Vehicle,8,Damaged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-24T00:00:00Z,USA, Saudi Arabia, UAE,,,,Syria,,12,"Al Mayadin, Al hasakah, Abu Kamel",,Fighter and remotely piloted aircraft,,,Modular oil refineries,12,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-24T00:00:00Z,USA,,,,,,Syria,,3,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-24T00:00:00Z,USA, Saudi Arabia, UAE,,,,Syria,,1,Dayr az Zawr,,Fighter and remotely piloted aircraft,,,Vehicle,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-25T00:00:00Z,France,,,,,,Iraq,1,,Fallujah,,,,,Warehouse,4,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-25T00:00:00Z,USA,,,,,,Iraq,1,,Irbil,,"Attack, bomber and fighter",,,Fighters,,Unknown,Armed vehicle,1,Damaged,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-25T00:00:00Z,USA,,,,,,Iraq,5,,Kirkuk,,"Attack, bomber and fighter",,,Fighters,,Unknown,Tank,1,Destroyed,Vehicle,1,Destroyed,Humvee,1,Destroyed,Armed vehicle,2,Damaged,,,,,,,,,,,,,,,,,
2014-09-25T00:00:00Z,USA,,,,,,Iraq,5,,W Baghdad,,"Attack, bomber and fighter",,,Humvee,1,Destroyed,Checkpoint,4,Destroyed,Fighting position,1,Destroyed,Guard towers,2,Destroyed,Command post,1,Destroyed,,,,,,,,,,,,,,,,,
2014-09-26T00:00:00Z,USA,,,,,,Iraq,5,,Kirkuk,,"Fighter, attack, and remotely piloted aircraft",,,Humvee,3,Destroyed,Vehicle,1,Destroyed,Armed vehicle,2,Disabled,Mine-resistant ambush protected vehicle,1,Damaged,,,,,,,,,,,,,,,,,,,,
2014-09-26T00:00:00Z,USA,,,,,,Iraq,1,,Bagdhad,,"Fighter, attack, and remotely piloted aircraft",,,Guard shack,1,Destroyed,Armed vehicle,1,Destroyed,Bunker,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,
2014-09-26T00:00:00Z,USA,,,,,,Iraq,1,,Al Qaim,,"Fighter, attack, and remotely piloted aircraft",,,Armed vehicle,4,Destroyed,Command and control facility,1,Destroyed,Checkpoint,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,
2014-09-26T00:00:00Z,USA,,,,,,Syria,,3,Dayr az Zawr,,"Fighter, attack, and remotely piloted aircraft",,,Tank,4,Destroyed,Tank,1,Damaged,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-27T00:00:00Z,USA, KSA, Jordan, UAE,,,Iraq,3,,Irbil,,Attack and fighter,,,Armed vehicle,4,Destroyed,Fighting position,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-27T00:00:00Z,USA,,,,,,Syria,,2,Al Hasakah,,Attack and fighter,,,Building,Multiple,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-27T00:00:00Z,USA,,,,,,Syria,,1,Manbij,,Attack and fighter,,,Command and control,1,Damaged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-27T00:00:00Z,USA,,,,,,Syria,,1,Kobane,,Attack and fighter,,,Building,1,Destroyed,Armed vehicle,2,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-27T00:00:00Z,USA,,,,,,Syria,,3,Raqaa,,Attack and fighter,,,Airfield,1,Damaged,Garrison,1,Damaged,Training camp,1,Damaged,,,,,,,,,,,,,,,,,,,,,,,
2014-09-28T00:00:00Z,USA,,,,,,Iraq,1,,Bagdhad,,"Fighter, attack, and remotely piloted aircraft",,,Safe house,1,Destroyed,Checkpoint,1,Damaged,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-28T00:00:00Z,USA,,,,,,Iraq,3,,Fallujah,,"Fighter, attack, and remotely piloted aircraft",,,Checkpoint,2,Destroyed,Transport vehicle,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-28T00:00:00Z,USA, Saudi Arabia, UAE,,,,Syria,,2,Dayr az Zawr,,Fighter,,,Tank,1,Destroyed,Tank,1,Damaged,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-28T00:00:00Z,USA, Saudi Arabia, UAE,,,,Syria,,1,NE Syria,,Fighter,,,Armed vehicle,3,Destroyed,Humvee,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-28T00:00:00Z,USA, Saudi Arabia, UAE,,,,Syria,,5,Raqaa,,Fighter,,,Modular oil refineries,4,Destroyed,Command and control facility,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-29T00:00:00Z,USA,,,,,,Iraq,1,,Kirkuk,,Attack and remotely piloted aircraft,,,Vehicle,2,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-29T00:00:00Z,USA,,,,,,Iraq,2,,Sinjar,,Attack and remotely piloted aircraft,,,Armed vehicle,2,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-29T00:00:00Z,USA,,,,,,,1,,NW Iraq,,Unknown,,,Armed vehicle,1,Unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-29T00:00:00Z,USA, Jordan, UAE,,,,Syria,,2,Dayr az Zawr,,Fighter and remotely piloted aircraft,,,Armed vehicle,1,Destroyed,Antiaircraft artillery transport vehicle,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-29T00:00:00Z,USA, Jordan, UAE,,,,Syria,,2,Aleppo,,Fighter and remotely piloted aircraft,,,Airfield,1,Destroyed,Compound,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-29T00:00:00Z,USA, Jordan, UAE,,,,Syria,,2,Raqaa,,Fighter and remotely piloted aircraft,,,Compound,2,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-29T00:00:00Z,USA, Jordan, UAE,,,,Syria,,2,Manbij,,Fighter and remotely piloted aircraft,,,Training camp,1,,Vehicle,Multiple,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
